shape triangle 1810, cosine similarity=0.23
shape triangle 1990, cosine similarity=0.19

shape cone 1810, cosine similarity=0.37
shape cone 1990, cosine similarity=0.27

shape tailor 1810, cosine similarity=0.15
shape tailor 1990, cosine similarity=0.07

animal cat 1810, cosine similarity=0.27
animal cat 1990, cosine similarity=0.28

animal pig 1810, cosine similarity=0.20
animal pig 1990, cosine similarity=0.30

animal bus 1810, cosine similarity=0.00
animal bus 1990, cosine similarity=-0.01

rodent mouse 1810, cosine similarity=0.00
rodent mouse 1990, cosine similarity=0.24

rodent shrew 1810, cosine similarity=0.00
rodent shrew 1990, cosine similarity=0.09

rodent fudge 1810, cosine similarity=0.00
rodent fudge 1990, cosine similarity=0.08

tree branch 1810, cosine similarity=0.30
tree branch 1990, cosine similarity=0.32

tree twig 1810, cosine similarity=0.00
tree twig 1990, cosine similarity=0.36

tree plaza 1810, cosine similarity=0.00
tree plaza 1990, cosine similarity=0.07

green grass 1810, cosine similarity=0.37
green grass 1990, cosine similarity=0.35

green frogs 1810, cosine similarity=0.20
green frogs 1990, cosine similarity=0.07

green giant 1810, cosine similarity=0.16
green giant 1990, cosine similarity=0.14

 fork 1810, cosine similarity=0.00
 fork 1990, cosine similarity=0.00

 mixer 1810, cosine similarity=0.00
 mixer 1990, cosine similarity=0.00

 text 1810, cosine similarity=0.00
 text 1990, cosine similarity=0.00

metal steel 1810, cosine similarity=0.43
metal steel 1990, cosine similarity=0.52

metal tin 1810, cosine similarity=0.49
metal tin 1990, cosine similarity=0.42

metal halo 1810, cosine similarity=0.00
metal halo 1990, cosine similarity=0.16

animal dog 1810, cosine similarity=0.29
animal dog 1990, cosine similarity=0.37

animal mouse 1810, cosine similarity=0.21
animal mouse 1990, cosine similarity=0.15

animal pink 1810, cosine similarity=0.00
animal pink 1990, cosine similarity=0.09

bicycle wheel 1810, cosine similarity=0.00
bicycle wheel 1990, cosine similarity=0.34

bicycle lock 1810, cosine similarity=0.00
bicycle lock 1990, cosine similarity=0.11

bicycle store 1810, cosine similarity=0.00
bicycle store 1990, cosine similarity=0.10

wood oak 1810, cosine similarity=0.30
wood oak 1990, cosine similarity=0.29

wood elm 1810, cosine similarity=0.30
wood elm 1990, cosine similarity=0.13

wood key 1810, cosine similarity=0.11
wood key 1990, cosine similarity=-0.03

season fall 1810, cosine similarity=0.09
season fall 1990, cosine similarity=0.18

season hunting 1810, cosine similarity=0.17
season hunting 1990, cosine similarity=0.21

season force 1810, cosine similarity=0.01
season force 1990, cosine similarity=-0.03

music rap 1810, cosine similarity=0.00
music rap 1990, cosine similarity=0.27

music gospel 1810, cosine similarity=0.06
music gospel 1990, cosine similarity=0.15

music riot 1810, cosine similarity=0.00
music riot 1990, cosine similarity=0.17

instrument flute 1810, cosine similarity=0.31
instrument flute 1990, cosine similarity=0.27

instrument harp 1810, cosine similarity=0.21
instrument harp 1990, cosine similarity=0.26

instrument snap 1810, cosine similarity=0.00
instrument snap 1990, cosine similarity=0.01

bread white 1810, cosine similarity=0.17
bread white 1990, cosine similarity=0.13

bread french 1810, cosine similarity=-0.07
bread french 1990, cosine similarity=0.09

bread ruins 1810, cosine similarity=-0.03
bread ruins 1990, cosine similarity=0.04

fuel gas 1810, cosine similarity=0.24
fuel gas 1990, cosine similarity=0.46

fuel coal 1810, cosine similarity=0.39
fuel coal 1990, cosine similarity=0.44

fuel kid 1810, cosine similarity=0.13
fuel kid 1990, cosine similarity=-0.01

hikers boots 1810, cosine similarity=0.00
hikers boots 1990, cosine similarity=0.22

hikers compass 1810, cosine similarity=0.00
hikers compass 1990, cosine similarity=0.07

hikers track 1810, cosine similarity=0.00
hikers track 1990, cosine similarity=0.14

flies bird 1810, cosine similarity=0.27
flies bird 1990, cosine similarity=0.31

flies bat 1810, cosine similarity=0.00
flies bat 1990, cosine similarity=0.18

flies rice 1810, cosine similarity=0.07
flies rice 1990, cosine similarity=0.16

body arm 1810, cosine similarity=0.19
body arm 1990, cosine similarity=0.23

body neck 1810, cosine similarity=0.20
body neck 1990, cosine similarity=0.31

body rag 1810, cosine similarity=0.00
body rag 1990, cosine similarity=0.08

house bathroom 1810, cosine similarity=0.00
house bathroom 1990, cosine similarity=0.20

house study 1810, cosine similarity=-0.07
house study 1990, cosine similarity=-0.09

house zombie 1810, cosine similarity=0.00
house zombie 1990, cosine similarity=0.00

clothing socks 1810, cosine similarity=0.00
clothing socks 1990, cosine similarity=0.32

clothing tie 1810, cosine similarity=0.03
clothing tie 1990, cosine similarity=0.12

clothing item 1810, cosine similarity=0.13
