
music rap 1920, cosine similarity=0.06
music rap 1990, cosine similarity=0.27

music gospel 1920, cosine similarity=0.07
music gospel 1990, cosine similarity=0.15

music riot 1920, cosine similarity=0.15
music riot 1990, cosine similarity=0.17

instrument flute 1920, cosine similarity=0.29
instrument flute 1990, cosine similarity=0.27

instrument harp 1920, cosine similarity=0.29
instrument harp 1990, cosine similarity=0.26

instrument snap 1920, cosine similarity=-0.11
instrument snap 1990, cosine similarity=0.01

bread white 1920, cosine similarity=0.15
bread white 1990, cosine similarity=0.13

bread french 1920, cosine similarity=-0.14
bread french 1990, cosine similarity=0.09

bread ruins 1920, cosine similarity=-0.10
bread ruins 1990, cosine similarity=0.04

fuel gas 1920, cosine similarity=0.42
fuel gas 1990, cosine similarity=0.46

fuel coal 1920, cosine similarity=0.49
fuel coal 1990, cosine similarity=0.44

fuel kid 1920, cosine similarity=-0.07
fuel kid 1990, cosine similarity=-0.01

hikers boots 1920, cosine similarity=0.00
hikers boots 1990, cosine similarity=0.22

hikers compass 1920, cosine similarity=0.00
hikers compass 1990, cosine similarity=0.07

hikers track 1920, cosine similarity=0.00
hikers track 1990, cosine similarity=0.14

flies bird 1920, cosine similarity=0.44
flies bird 1990, cosine similarity=0.31

flies bat 1920, cosine similarity=0.29
flies bat 1990, cosine similarity=0.18

flies rice 1920, cosine similarity=0.03
flies rice 1990, cosine similarity=0.16

body arm 1920, cosine similarity=0.20
body arm 1990, cosine similarity=0.23

body neck 1920, cosine similarity=0.25
body neck 1990, cosine similarity=0.31

body rag 1920, cosine similarity=0.07
body rag 1990, cosine similarity=0.08

house bathroom 1920, cosine similarity=0.16
house bathroom 1990, cosine similarity=0.20

house study 1920, cosine similarity=-0.11
house study 1990, cosine similarity=-0.09

house zombie 1920, cosine similarity=0.00
house zombie 1990, cosine similarity=0.00

clothing socks 1920, cosine similarity=0.25
clothing socks 1990, cosine similarity=0.32

clothing tie 1920, cosine similarity=0.11
clothing tie 1990, cosine similarity=0.12

clothing item 1920, cosine similarity=0.10
clothing item 1990, cosine similarity=0.22

animal pig 1920, cosine similarity=0.28
animal pig 1990, cosine similarity=0.30

animal mule 1920, cosine similarity=0.15
animal mule 1990, cosine similarity=0.20

animal pipe 1920, cosine similarity=-0.03
animal pipe 1990, cosine similarity=0.00

job doctor 1920, cosine similarity=0.21
job doctor 1990, cosine similarity=0.20

job banker 1920, cosine similarity=0.13
job banker 1990, cosine similarity=0.10

job puppet 1920, cosine similarity=0.06
job puppet 1990, cosine similarity=-0.09

read newspaper 1920, cosine similarity=0.27
read newspaper 1990, cosine similarity=0.32

read letter 1920, cosine similarity=0.32
read letter 1990, cosine similarity=0.23

read vulture 1920, cosine similarity=-0.07
read vulture 1990, cosine similarity=0.03

makeup lipstick 1920, cosine similarity=0.00
makeup lipstick 1990, cosine similarity=0.30

makeup gloss 1920, cosine similarity=0.00
makeup gloss 1990, cosine similarity=0.09

makeup inmate 1920, cosine similarity=0.00
makeup inmate 1990, cosine similarity=0.10

season winter 1920, cosine similarity=0.50
season winter 1990, cosine similarity=0.43

season christmas 1920, cosine similarity=0.34
season christmas 1990, cosine similarity=0.28

season turnips 1920, cosine similarity=0.12
season turnips 1990, cosine similarity=0.13

fruit apple 1920, cosine similarity=0.45
fruit apple 1990, cosine similarity=0.39

fruit lime 1920, cosine similarity=0.18
fruit lime 1990, cosine similarity=0.25

fruit slow 1920, cosine similarity=0.07
fruit slow 1990, cosine similarity=0.07

fabric silk 1920, cosine similarity=0.25
fabric silk 1990, cosine similarity=0.30

fabric velvet 1920, cosine similarity=0.10
fabric velvet 1990, cosine similarity=0.20

fabric organ 1920, cosine similarity=0.18
fabric organ 1990, cosine similarity=0.06

weapon knife 1920, cosine similarity=0.41
weapon knife 1990, cosine similarity=0.35

weapon spear 1920, cosine similarity=0.44
weapon spear 1990, cosine similarity=0.30

weapon cliff 1920, cosine similarity=0.03
weapon cliff 1990, cosine similarity=0.01

feeling happy 1920, cosine similarity=0.14
feeling happy 1990, cosine similarity=0.20

feeling calm 1920, cosine similarity=0.18
feeling calm 1990, cosine similarity=0.29

feeling name 1920, cosine similarity=-0.03
feeling name 1990, cosine similarity=0.08

fruit orange 1920, cosine similarity=0.25
fruit orange 1990, cosine similarity=0.25

fruit plum 1920, cosine similarity=0.34
fruit plum 1990, cosine similarity=0.23

fruit tubas 1920, cosine similarity=0.00
fruit tubas 1990, cosine similarity=0.00

tool hammer 1920, cosine similarity=0.28
tool hammer 1990, cosine similarity=0.23

tool ruler 1920, cosine similarity=0.15
tool ruler 1990, cosine similarity=0.20

tool box 1920, cosine similarity=0.22
tool box 1990, cosine similarity=0.18

farmers tractor 1920, cosine similarity=0.06
farmers tractor 1990, cosine similarity=0.07

farmers rake 1920, cosine similarity=-0.04
farmers rake 1990, cosine similarity=0.05

farmers bookcase 1920, cosine similarity=-0.06
farmers bookcase 1990, cosine similarity=-0.03

flies airplane 1920, cosine similarity=0.17
flies airplane 1990, cosine similarity=0.19

flies moth 1920, cosine similarity=0.33
flies moth 1990, cosine similarity=0.31

flies possum 1920, cosine similarity=0.00
flies possum 1990, cosine similarity=0.12

